台湾-706 59.125.43.22
台湾-704 118.163.108.99
香港-1137 113.10.240.171
香港-87 202.82.173.81
香港-110 125.214.211.19
香港-1117 183.90.184.68
韩国-4730 58.181.5.73
韩国-4731 211.201.133.150
韩国-4732 123.142.144.165
日本-442 xfjp04.gicp.net
日本-443 xfjp05.gicp.net
日本-444 xfjp06.gicp.net
日本-445 xfjp07.gicp.net
美国-12691 173.234.93.195
美国-12692 173.234.93.194
美国-12694 173.234.93.192
美国-12693 173.234.93.193
加拿大-13475 216.151.166.21
加拿大-13550 71.19.242.67
加拿大-13549 71.19.242.68
北京电信-8155 118.244.135.159
宁夏银川电信-226 202.100.98.5
陕西咸阳电信-73 124.116.176.41
四川省成都市长宽-243 211.165.132.16
江西南昌电信-8067 117.40.152.31
新加坡-594 61.14.77.198
新加坡-596 111.223.112.99
法国-931 193.253.234.39
法国-938 62.212.110.69

